Title,Author,Year,Publisher
"Computational Propaganda: Political Parties, Politicians, and Political Manipulation on Social Media",Samuel  C .  Woolley,2018,Oxford University Press
"500 social media marketing tips : essential advice, hints and strategy for business : Facebook, Twitter, Pinterest, Google+, YouTube, Instagram, Linkedin, and more!",Andrew Macarthy,2014,
"Seven Layers of Social Media Analytics: Mining Business Insights from Social Media Text, Actions, Networks, Hyperlinks, Apps, Search Engine, and Location Data",Gohar F. Khan,2015,
Social Media,Grant Kennedy,2016,Createspace Independent Publishing Platform
The SAGE Handbook of Social Media Research Methods,Luke Sloan,2017,SAGE Publications Ltd
"#AskGaryVee: One Entrepreneur's Take on Leadership, Social Media, and Self-Awareness",Gary Vaynerchuk,2016,HarperBusiness
Social Media Data Mining and Analytics,Gabor Szabo,2018,Wiley
"Social Media Marketing 2021: 4 BOOKS IN 1 - Social Media for Beginners, Instagram Marketing to Become an Influencer, Facebook Advertising, Google AdWords ",Preace,2020,
"Praxiswissen Online-Marketing: Affiliate-, Influencer-, Content- und E-Mail-Marketing, Google Ads, SEO, Social Media, Online- inklusive Facebook-Werbung (German Edition)",Lammenett,2019,Springer Gabler
"FACEBOOK MARKETING 2021: Hit With Advertising Strategies to Estimate Your Small Business on Top,use This Move by Step Beginner’s Guide for Passive Income on Social Media to Make Money Online Fromhome",Jack Mathew [Mathew,2021,#PrB.rating#0.0
"Social Security 101: From Medicare To Spousal Benefits, An Essential Primer On Government Retirement Aid (adams 101)",Mill,2016,Adams Media
The Art of Social Media: Power Tips for Power Users,Guy Kawasaki,2014,Portfolio
Influencer: Building your personal brand in the age of social media,Hennessy,2018,Citadel Press
Social Media Success for Every Brand: The Five StoryBrand Pillars That Turn Posts Into Profits,Claire Diaz-Ortiz,2019,HarperCollins Leadership
"No B.S. Guide to Direct Response Social Media Marketing: The Ultimate No Holds Barred Guide to Producing Measurable, Monetizable Results with Social Media Marketing",Dan S. Kennedy,2015,Entrepreneur Press
Leave Your Mark: Land Your Dream Job. Kill It in Your Career. Rock Social Media.,Aliza Licht,2015,Grand Central Publishing
"Media, Society, World: Social Theory and Digital Media Practice",Nick Couldry,2012,Polity
"INSTAGRAM MARKETING 2021: Success in your business with the power of promotion, grow a top influencer with the secrets of this beginner’s guide for growth in social media marketing",Mathew,2021,
Introduction to Mass Communication: Media Literacy and Culture,Stanley Baran,2013,McGraw-Hill Humanities/Social Sciences/Languages
"Python Social Media Analytics: Analyze and visualize data from Twitter, Youtube, GitHub, and more",Siddhartha Chatterjee,2017,Packt Publishing
"The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly",David Meerman Scott,2013,Wiley
Social Media Marketing Workbook 2022,Jason McDonald,2022,
Philosophy Of Media: A short History Of Ideas And Innovations From Socrates To Social Media,Hassan,2017,Routledge
Social Media Marketing All-in-One For Dummies,Michelle Krasniak,2021,For Dummies
Dynamic Digital Marketing: Master the World of Online and Social Media Marketing to Grow Your Business,Dawn McGruer,2020,Wiley
Social Media for Strategic Communication: Creative Strategies and Research-Based Applications,Karen J Freberg,2018,"Sage Publications, Inc"
Influence and Behavior Analysis in Social Networks and Social Media,Mehmet Kaya,2019,Springer International Publishing
"Professione social media manager. Strategie, tattiche e strumenti per i professionisti del social media marketing",Veronica Gentili,2020,Hoepli
"50 digital team building games : fast, fun meeting openers, group activities and adventures using social media, smart phones, GPS, tablets, and more",Chen,2012,Wiley
Social Media Made Simple: Social Media Marketing Tips for Small Business: A Quick Guide to Boosting Your Brand With 101 Free Content Ideas,The Sitters Australia & Siân Evans & Justine Day [Australia,2021,#PrB.rating#5.0
Social Media and Crisis Communication,Lucinda L Austin,2017,Routledge
LikeWar: The Weaponization of Social Media,P.W. Singer,2018,Eamon Dolan/Houghton Mifflin Harcourt
Mining Social Media: Finding Stories in Internet Data,Lam Thuy Vo,2019,No Starch Press
The culture of connectivity : a critical history of social media,José van Dijck,2013,Oxford University Press
"The Hype Machine: How Social Media Disrupts Our Elections, Our Economy, and Our Health--And How We Must Adapt",Sinan Aral,2020,Currency
"Social Media, Politics and the State: Protests, Revolutions, Riots, Crime and Policing in the Age of Facebook, Twitter and YouTube",Daniel Trottier,2014,Routledge
"SOCIAL MEDIA MARKETING AND ONLINE BUSINESS 2021: Beyond 2020! Rise to the top of the Main eCommerce Platforms Using the Most Unscrupulous and Winning Tactics of Instagram, YouTube & Facebook.",ALLAN KANE,2020,
"Messing with the Enemy: Surviving in a Social Media World of Hackers, Terrorists, Russians, and Fake News",Clint Watts,2018,Harper
Media Control: News as an Institution of Power and Social Control,Robert E. Gutsche Jr.,2017,Bloomsbury Publishing Inc
Breeding His Social Media Slut Daughter,DeeDee Zee,,
The Social Media Marketing Book,Dan Zarrella,2009,O'Reilly Media
Multimodal Communication: A social semiotic approach to text and image in print and digital media,May Wong,2019,Springer International Publishing; Palgrave Pivot
The Introvert’s Edge to Networking: Work the Room. Leverage Social Media. Develop Powerful Connections,Pollard,2021,HarperCollins Leadership
Social Media Marketing : Learn How to Build a Great Brand & Master the Secrets of influencing .,Lane,2020,
Growth Hacker Marketing. El futuro del Social Media y la Publicidad (Títulos Especiales) (Spanish Edition),Ryan Holiday,2014,ANAYA MULTIMEDIA
"Social Media Marketing – Strategies of Facebook Marketing, Instagram Marketing, LinkedIn Marketing, YouTube Marketing",Maheshwari,2021,
Introduction to Social Media Marketing: A Guide for Absolute Beginners,Todd Kelsey,2017,Apress
Blender for Video Production Quick Start Guide: Create high quality videos for YouTube and other social media platforms with Blender,Allan Brito,2018,Packt Publishing
"Critique, Social Media and Information Society",Christian Fuchs and Marisol Sandoval,2014,Routledge
"Writing on the wall: social media — the first 2,000 years",Tom Standage,2013,Bloomsbury USA
Encyclopedia of Social Media and Politics (3 volume set),Kerric Harvey,2014,"SAGE Publications, Inc"
Influencer: Building Your Personal Brand in the Age of Social Media,Hennessy Brittany,2018,
"Think Like a Psychologist: How to Analyze Emotions, Read Body Language and Behavior, Understand Motivations, and Decipher Intentions (The Psychology of Social Dynamics Book 2)",Patrick King [King,2019,"PKCS Media, Inc."
O mito da grande classe média - Capitalismo e estrutura social,Marcio Pochmann,2015,Boitempo Editorial
"NEW RULES OF MARKETING & PR how to use social media, online video, mobile applications, blogs... , news releases, and viral marketing to reach buye.",DAVID MEERMAN SCOTT,2020,JOHN WILEY & SONS
"International Communications Strategy: Developments in Cross-Cultural Communications, PR and Social Media",Silvia Cambie,2009,Kogan Page
Behind The Screen: Content Moderation In The Shadows Of Social Media,Sarah T. Roberts,2019,Yale University Press
Ultimate Guide to Social Media Marketing,Eric Butow,2020,Entrepreneur Press
"Social Media Marketing,3 books in one: Excellent Tricks to Grow your business,Instagram Marketing to become a famous influencer,Tiktok and You Tube to make Viral Videos",Dave Miller,2020,
Dark Persuasion: A History of Brainwashing from Pavlov to Social Media,Dimsdale,2021,Yale University Press
"Distant Witness：Social Media, The Arab Spring and a Journalism Revolution 遙遠的目擊者：阿拉伯之春紀事",鄧伯宸 Andy Carvin,2013,立緒
Online Public Relations: A Practical Guide to Developing an Online Strategy in the World of Social Media (PR in Practice),David Phillips,2009,Kogan Page
"Creating Smart Enterprises: Leveraging Cloud, Big Data, Web, Social Media, Mobile and IoT Technologies",Vivek Kale,2018,Auerbach Publications;CRC Press
The Handbook of Online and Social Media Research: Tools and Techniques for Market Researchers,Ray Poynter,2010,Wiley
"Improve Your Conversations: Think On Your Feet, Witty Banter, and Always Know What To Say with Improv Comedy Techniques (Social Skills, Small Talk, and Communication Skills Mastery)",Patrick King [King,2015,Plain Key Media
Social Media Marketing,Tracy L. Tuten & Michael R. Solomon,,
Ten Arguments for Deleting Your Social Media Accounts Right Now,Jaron Lanier,2018,Henry Holt and Company
"Disinformation, Misinformation, and Fake News in Social Media (Lecture Notes in Social Networks)",Unknown,2020,Springer International Publishing
Social Media: A Critical Introduction,Christian Fuchs,2013,SAGE Publications Ltd
"Strategic Communication, Social Media and Democracy The challenge of the digital naturals",Edited by W. Timothy Coombs,2015,Routledge
"R: Mining Spatial, Text, Web, and Social Media Data",Bater Makhabel,2017,Packt Publishing;
"30 Days to Social Media Success: The 30 Day Results Guide to Making the Most of Twitter, Blogging, LinkedIN, and Facebook",Gail Martin,2010,Career Press
#Republic: Divided Democracy in the Age of Social Media,Cass R. Sunstein,2017,Princeton University Press
Public Influence: A Guide to Op-Ed Writing and Social Media Engagement,Mira Sucharov,2019,University of Toronto Press
Social Media Marketing in Tourism and Hospitality,Roberta Minazzi (auth.),2015,Springer International Publishing
Social Media And The Post-Truth World Order: The Global Dynamics Of Disinformation,Gabriele Cosentino,2020,Palgrave Pivot
Social Media Marketing: Emerging Concepts and Applications,Githa Heggde,2018,Palgrave Macmillan
Natural Language Processing for Social Media,Anna Atefeh Farzindar,2020,Morgan & Claypool Publishers
"Psychoanalysis and Digital Culture: Audiences, Social Media, and Big Data",Jacob Johanssen,2019,Routledge
"Social Media Communication: Concepts, Practices, Data, Law and Ethics",Jeremy H. Lipschultz,2017,Routledge
The Social Media MBA Guide to ROI: How to Measure and Improve Your Return on Investment,Christer Holloman,2014,Wiley
Social Media Analytics Strategy: Using Data to Optimize Business Performance,Alex Gonçalves (auth.),2017,Apress
"Advanced social media marketing: How to lead, launch, and manage a successful social media program",Tom Funk,2012,Apress
The End of Marketing: Humanizing Your Brand in the Age of Social Media and AI,Carlos Gil,2019,Kogan Page
Social Media Marketing personal y profesional,José Antonio Carballar Falcón,2013,Alfaomega
No B.S. Guide to Direct Response Social Media Marketing,Dan S. Kennedy,2015,Entrepreneur Press
"Optimize: How to Attract and Engage More Customers by Integrating SEO, Social Media, and Content Marketing",Lee Odden,2012,Wiley
The Social Photo - On Photography and Social Media,Nathan Jurgenson,2019,Verso
Marketing Communications: Integrating Offline and Online with Social Media,Paul R. Smith,2011,Kogan Page Publishers
The Language of Social Media: Identity and Community on the Internet,Philip Seargeant,2014,Palgrave Macmillan UK
The End Of Forgetting: Growing Up With Social Media,Kate Eichhorn,2019,Harvard University Press
"500 Social Media Marketing Tips: Essential Advice, Hints and Strategy for Business: Facebook, Twitter, Instagram, Pinterest, LinkedIn, YouTube, Snapchat, and More!",Andrew Macarthy,2014,
Think Before You Like: Social Media’s Effect on the Brain and the Tools You Need to Navigate Your Newsfeed,Guy P. Harrison,2017,Prometheus Books
"Instagram: Instagram Blackbook: Everything You Need To Know About Instagram For Business and Personal - Ultimate Instagram Marketing Book (Internet Marketing, Social Media)",J. Holmes,,
For the TikTok Beginner: Become a Famous Social Media Influencer: Learn the Ins & Outs of TikTok and Turn Income Ideas Into a Money Making Business,Adonis Gillespie [Gillespie,2021,#PrB.rating#0.0
"Innovations in Knowledge Management: The Impact of Social Media, Semantic Web and Cloud Computing",Liana Razmerita,2016,Springer-Verlag Berlin Heidelberg
Free Speech: A History from Socrates to Social Media,Jacob Mchangama,2022,Basic Books
How to Make Money with Social Media: An Insider's Guide on Using New and Emerging Media to Grow Your Business,Jamie Turner,2010,FT Press
"Social media hacking: Hack Facebook, WhatsApp, Instagram, Twitter accounts",Shekhar Mishra,2018,
Mining Social Media-Finding Stories in Internet Data,Lam Thuy Vo,2019,No Starch Press
Alpha Male Strategies: Dating Techniques In The Social Media Age,Alpha Male Strategies,,
"Fans and Fan Cultures: Tourism, Consumerism and Social Media",Henrik Linden,2017,Palgrave Macmillan UK
"Inbound Marketing: Get Found Using Google, Social Media, and Blogs",Brian Halligan,2009,Wiley
Nationalism on the Internet: Critical Theory and Ideology in the Age of Social Media and Fake News,Christian Fuchs,2019,Routledge
"Likeable Social Media: How to Delight Your Customers, Create an Irresistible Brand, and Be Generally Amazing on Facebook",Dave Kerpen,2011,McGraw-Hill
"Ask, Measure, Learn: Using Social Media Analytics to Understand and Influence Customer Behavior",Lutz Finger,2014,O'Reilly Media
Socialism 101,Kathleen Sears,2019,Adams Media
"Social media hacking: Hack Facebook,what's app,instagram,twitter accounts",Shekhar mishra,2018,
"Social Evolution, Political Psychology, and the Media in Democracy: The Invisible Hand in the U.S. Marketplace of Ideas",Beattie,2019,Springer
"Social Media Marketing 2021: 4 BOOKS IN 1 - Social Media for Beginners, Instagram Marketing to Become an Influencer, Facebook Advertising, Google AdWords (Analytics, SEO and ADS for Your Business)",Preace,2020,
"Social BOOM!: How to Master Business Social Media to Brand Yourself, Sell Yourself, Sell Your Product, Dominate Your Industry Market, Save Your Butt, ... and Grind Your Competition into the Dirt",Jeffrey Gitomer,2011,FT Press
"Socialism 101: from the Bolsheviks and Karl Marx to universal healthcare and the democratic socialists, everything you need to know about socialism",Kathleen Sears,2019,Adams Media
Social Media for Small Business,Iseli,2021,John Wiley & Sons
The Network Society: Social Aspects of New Media,Professor Jan A G M van Dijk,2005,Sage Publications Ltd
Ten Arguments For Deleting Your Social Media Accounts Right Now,by Jaron Lanier,2018,
Social Network Analysis for Startups: Finding connections on the social web,Maksim Tsvetovat,2011,O'Reilly Media
"Gadget Consciousness: Collective Thought, Will And Action in the Age of Social Media",Joss Hands,2019,Pluto Press
"New Media, Cultural Studies, and Critical Theory after Postmodernism: Automodernity from Zizek to Laclau (Education, Psychoanalysis, Social Transformation)",Robert Samuels,2009,Palgrave Macmillan
Start a Successful Social Media Marketing Agency From Home: Everything You Need to Know About Branding Your Social Media Marketing From Your Comfort Zone,Dawson Barnes [Barnes,2021,Independently published
"How Algorithms Create and Prevent Fake News: Exploring the Impacts of Social Media, Deepfakes, GPT-3, and More",Noah Giansiracusa,2021,Apress
Sentiment Analysis for Social Media,Carlos A. Iglesias,2020,MPDI
The Day the Bubble Burst: A Social History of the Wall Street Crash of 1929,Gordon Thomas,2014,Open Road Media
"Your brand, the next media company : how a social business strategy enables better content, smarter marketing, and deeper customer relationships",Brito,2014,Pearson Education;Que Publishing
Social Media Marketing All-in-One For Dummies,Michelle Krasniak,2021,For Dummies
"Likeable Social Media, Third Edition: How to Delight Your Customers, Create an Irresistible Brand, & Be Generally Amazing on All Social Networks That Matter",Dave Kerpen,2019,McGraw-Hill Education
"Digital Media and Society: Transforming Economics, Politics and Social Practices",Andrew White (auth.),2014,Palgrave Macmillan UK
"Breaking Orbit: How to Write, Publish and Launch Your First Bestseller on Amazon Without a Mailing List, Blog or Social Media Following",Green Jonathan,2016,
Social media for writers : marketing strategies for building your audience and selling books,Philippa Ballantine,2015,F W Media;Writer's Digest Books
Breaking the Social Media Prism: How to Make Our Platforms Less Polarizing,Chris Bail,2021,Princeton University Press
Offline: Free Your Mind from Smartphone and Social Media Stress,Imran Rashid,2019,Capstone/Wiley & Sons
"The Dark Side of Social Media: Psychological, Managerial, and Societal Perspectives",Pavica Sheldon,2019,Academic Press
Social Media Marketing for Business: Scaling an Integrated Social Media Strategy Across Your Organization,Andrew Jenkins,2022,
"The Dragonfly Effect: Quick, Effective, and Powerful Ways To Use Social Media to Drive Social Change",Jennifer Aaker,2010,Jossey-Bass
Alpha Male Strategies: Dating Techniques In The Social Media Age,Strategies,2018,
The Happiness Effect: How Social Media is Driving a Generation to Appear Perfect at Any Cost,Donna Freitas,2017,Oxford University Press
Internet and Social Media Addiction,Andrea C. Nakaya,2015,"ReferencePoint Press, Inc."
"Social Media - The Art of Marketing on YouTube, Facebook, Twitter, and Instagram",Calvin Kennedy,,
"Follow me! Erfolgreiches Social Media Marketing mit Facebook, Instagram, LinkedIn und Co.",Karim-Patrick Bannour,2022,Rheinwerk Verlag
Copywriting: I 50 Comandamenti del Copywriter. Copywriting Persuasivo per Social Media Marketing. Per Negati. Edizione 2019 (Marketing per Negati Vol. 4) (Italian Edition),Max Milla,2019,
"Mining the Social Web: Analyzing Data from Facebook, Twitter, LinkedIn, and Other Social Media Sites",Matthew A. Russell,2011,O'Reilly Media
Dynamic Digital Marketing: Master the world of online and social media marketing to grow your business,Dawn McGruer,2,Wiley
Social Media and Public Relations: Fake Friends and Powerful Publics,Judy Motion,2016,Routledge
Social eCommerce: Increasing Sales and Extending Brand Reach,Stephan Spencer,2014,O'Reilly Media
"The Social Media Debate: Unpacking the Social, Psychological, and Cultural Effects of Social Media",Devan Rosen (editor),2022,Routledge
"The Social Media Handbook for Financial Advisors: How to Use LinkedIn, Facebook, and Twitter to Build and Grow Your Business",Matthew Halloran,2012,Bloomberg Press
30-Minute Social Media Marketing: Step-by-step Techniques to Spread the Word About Your Business,Susan Gunelius,2010,McGraw-Hill
Social Media Marketing Workbook 2022: Secret tricks for successfully growing your business to billionaire,Howell,2022,
Why Social Media is Ruining Your Life,Katherine Ormerod,2018,Cassell Illustrated
Selling Social Media: The Political Economy of Social Networking,Daniel Faltesek,2018,Bloomsbury Academic
"i-Minds: How Cell Phones, Computers, Gaming, and Social Media are Changing our Brains, our Behavior, and the Evolution of our Species",Mari Swingle,2016,New Society Publishers
Content Marketing: Think Like a Publisher - How to Use Content to Market Online and in Social Media (Que Biz-Tech),Rebecca Lieb,2011,Que
Social-Media-Marketing kompakt,Ralf T. Kreutzer,2018,Springer Fachmedien Wiesbaden;Springer Gabler
No Sense of Place: The Impact of Electronic Media on Social Behavior,Joshua Meyrowitz,1985,Oxford University Press
"Custodians of the Internet: Platforms, Content Moderation, and the Hidden Decisions That Shape Social Media",Tarleton Gillespie,2018,Yale University Press
"I'm a Therapist, and My Patient is a Vegan Terrorist: 6 Deadly Social Media Influencers",Dr. Harper,2020,Dr. Harper Therapy
Historia economica y social de la Edad Media,Henri Pirenne,1939,Fondo de Cultura Económica
"Content Rules: How to Create Killer Blogs, Podcasts, Videos, Ebooks, Webinars (and More) That Engage Customers and Ignite Your Business (New Rules Social Media Series)",Ann Handley,2010,Wiley
"Managing Democracy in the Digital Age: Internet Regulation, Social Media Use, and Online Civic Engagement",Julia Schwanholz,2018,Springer International Publishing
"The Zen of Social Media Marketing: An Easier Way to Build Credibility, Generate Buzz, and Increase Revenue",Shama Kabani,2010,BenBella Books
Social Media and Personal Relationships : Online Intimacies and Networked Friendship,Chambers,2013,Palgrave Macmillan
The Social Organism: A Radical Understanding of Social Media to Transform Your Business and Life,Oliver Luckett,2016,Hachette Books
Social Media ROI: Managing and Measuring Social Media Efforts in Your Organization,Olivier Blanchard,2011,Que Publishing
Netnography Unlimited: Understanding Technoculture Using Qualitative Social Media Research,Robert V. Kozinets (editor),2021,Routledge
"Social Skills - Social Fluency: Genuine Social Habits to Work a Room, Own a Conversation, and Be Instantly Likeable...Even Introverts! (Communication Skills, Small Talk, People Skills Mastery)",Patrick King,2014,Plain Key Media
Social media made me rich : here's how it can do the same for you,Loop,2016,Morgan James Publishing
"Essential Guide to Making Money Online: Self-Publishing, Blogging, Affiliate Marketing, Dropshipping, Online Videos, Courses, Merch, Social Media Influencer Marketing, and Retail Arbitrage",Michael Kevin [Kevin,2019,#PrB.rating#3.18
Framing Public Life: Perspectives on Media and Our Understanding of the Social World,Stephen D. Reese,2001,Routledge
"Messing with the Enemy: Surviving in a Social Media World of Hackers, Terrorists, Russians, and Fake News",Clint Watts,2019,Harper Paperbacks
Social Media Marketing: Ultimate instructions for upgrading your Business Through social media marketing efforts in 2020,Elby,2020,
Social Media Promotion for Small Business and Entrepreneurs: The Manual For Marketing Your Products And Business Online,Owsinski,2014,BOMG Publishing
A Social Media Survival Guide: How to Use the Most Popular Platforms and Protect Your Privacy,Melody Karle,2020,Rowman & Littlefield Publishers
"Work Smarter with Social Media : a Guide to Managing Evernote, Twitter, LinkedIn, and Your Email.",Samuel,2015,Harvard Business Review Press
Social Media Mining with R: Deploy cutting-edge sentiment analysis techniques to real-world social media data using R,Richard Heimann,2014,Packt Publishing
The Live-Streaming Handbook: How to Create Live Video for Social Media on Your Phone and Desktop,Peter Stewart,2018,Routledge
Internet and surveillance: the challenges of Web 2.0 and social media,Christian Fuchs,2011,Routledge
The Everything Guide to Crowdfunding: Learn how to use social media for small-business funding,Thomas Elliott Young,2013,Adams Media
Open Source Intelligence and Cyber Crime: Social Media Analytics,Mohammad A. Tayebi,2020,Springer International Publishing;Springer
"Social media hacking: Hack Facebook,what's app,instagram,twitter accounts",Shekhar mishra [mishra,2018,
Guerrilla Marketing for Job Hunters 3.0: How to Stand Out from the Crowd and Tap Into the Hidden Job Market using Social Media and 999 other Tactics Today,Jay Conrad Levinson,2011,Wiley
"Charisma: Conversation Skills, Influence, Social Skills, People Skills (Communication Skills, How To Talk To Anyone, Persuasion, How To Be Charismatic, Be Magnetic)",Gary Marshall [Marshall,2014,Pomodoro Media
Mobile and Social Media Journalism; A Practical Guide,Anthony Adornato,2017,CQ Press
"Language, Social Media and Ideologies: Translingual Englishes, Facebook and Authenticities",Sender Dovchin,2020,Springer
"Violence and trolling on social media: history, affect, and effects of online vitriol",Polak,2020,Amsterdam University Press
Social media recruitment : how to successfully integrate social media into recruitment strategy,Headworth,2015,Kogan Page
"Understanding Social Media And Entrepreneurship: The Business Of Hashtags, Likes, Tweets And Stories",Leon Schjoedt,2020,Springer
"The B2B social media book: become a marketing superstar by generating leads with blogging, LinkedIn, Twitter, Facebook, email, and more - PDFDrive.com",Jeffrey L. Cohen Kipp Bodnar,,John Wiley & Sons
Tweets and the Streets: Social Media and Contemporary Activism,Paolo Gerbaudo,2012,Pluto Press
Social Media Marketing: An Hour a Day,Dave Evans,2012,Sybex
"Social Media and Democracy: The State of the Field, Prospects for Reform",Nathaniel Persily,2020,Cambridge University Press
"Mining the social web: data mining Facebook, Twitter, LinkedIn, Google+, GitHub, and more",Matthew A. Russell,2013,O'Reilly Media
"Designing Social Interfaces: Principles, Patterns, and Practices for Improving the User Experience (Animal Guide)",Christian Crumlish,2009,Yahoo Press / O'Reilly Media
How the world changed social media,Daniel Miller,2016,UCL Press
"Disinformation, Misinformation, and Fake News in Social Media: Emerging Research Challenges and Opportunities",Kai Shu,2020,Springer International Publishing;Springer
Basic Marketing Research: Integration of Social Media,Naresh K. Malhotra,2011,Pearson
#Republic: Divided Democracy in the Age of Social Media,Cass R. Sunstein,2017,Princeton University Press
Politics and Big Data: Nowcasting and Forecasting Elections with Social Media,Andrea Ceron,2017,Routledge
"The Social Media Bible: Tactics, Tools, and Strategies for Business Success",Lon Safko,2012,Wiley
Applications of Social Media and Social Network Analysis,Przemysław Kazienko,2015,Springer International Publishing
LikeWar: the Weaponization of Social Media,Singer,2018,Houghton Mifflin Harcourt
"Status Update: Celebrity, Publicity, and Branding in the Social Media Age",Alice E. Marwick,2013,Yale University Press
"Social Media: How to Engage, Share, and Connect",Regina Luttrell,2018,Rowman & Littlefield Publishers
Networks Without a Cause: A Critique of Social Media,Geert Lovink,2012,Polity
"The Origins of the Modern Chinese Press: The Influence of the Protestant Missionary Press in Late Qing China (Routledge Media, Culture and Social Change in Asia)",Xiantao Zhang,2007,
"Social Media Marketing 2021-22: Beginner's Guide to Making Money Online. Become a Successful Influencer Through Youtube, Twitter, Facebook, Instagram and Linkedin Algorithms. Start Your Passive Income",Digital Business Academy,2021,Independently published
Get Social: Social Media Strategy and Tactics for Leaders,Michelle Carvill,2018,Kogan Page
"Social Media in Travel, Tourism and Hospitality: Theory, Practice and Cases",Marianna Sigala,2012,Ashgate Pub Co
"Media Convergence Handbook - Vol. 1: Journalism, Broadcasting, and Social Media Aspects of Convergence",Artur Lugmayr,2016,Springer-Verlag Berlin Heidelberg
The End of Marketing: Humanizing Your Brand in the Age of Social Media,Gil,2021,Kogan Page
Social Media Marketing All-in-One For Dummies,Jan Zimmerman,2010,For Dummies
"No Bullshit Social Media: The All-Business, No-Hype Guide to Social Media Marketing",Jason Falls,2011,Que
"Social Media Marketing,3 books in one: Excellent Tricks to Grow your business,Instagram Marketing to become a famous influencer,Tiktok and You Tube to make Viral Videos",Miller,2020,
Memes to movements : how the world's most viral media is changing social protest and power,An Xiao Mina,2019,Beacon Press
"Social media hacking: Hack Facebook,what's app,instagram,twitter accounts",Shekhar mishra,2018,
Encyclopedia of Social Movement Media,Professor John D. H. Downing,2010,"Sage Publications, Inc"
Mining Social Media: Finding Stories in Internet Data,Lam Thuy Vo,2020,No Starch Press
B2B-Online-Marketing und Social Media: Handlungsempfehlungen und Best Practices,Ralf T. Kreutzer,2020,Springer Fachmedien Wiesbaden;Springer Gabler
Understanding Media Cultures: Social Theory and Mass Communication 2nd Edition,Nicholas Stevenson,2002,Sage Publications Ltd
"Instagram Marketing For Business: How To Get More Targeted Followers And Build A Brand On Instagram (Social Media, Internet Marketing, Instagram Tips)",Martin Goodwin,,
Branding Yourself: How to Use Social Media to Invent or Reinvent Yourself,Erik Deckers,2012,Que Publishing
Social Media Analytics for User Behavior Modeling: A Task Heterogeneity Perspective (Data-Enabled Engineering),Arun Reddy Nelakurthi,2020,CRC Press
Mastering Social Media Mining with Python,Marco Bonzanini,2016,Packt Publishing
Social Media Communication Data For Recovery: Detecting Socio-Economic Activities Following A Disaster,Yuya Shibuya,2020,Springer
Analyzing Social Media Networks with NodeXL: Insights from a Connected World,Derek Hansen Ph.D.  University of Michigan,2019,Morgan Kaufmann
Managing Online Reputation: How to Protect Your Company on Social Media,Charlie Pownall,2015,Palgrave Macmillan
